source_file,column,dtype,non_null,sample_values
Highway5.dta,state,object,54,AL; AK; AZ
Highway5x.dta,ism,float32,51,101.43477630615234; 66.39803314208984; 101.33949279785156
Highway5x.dta,ill,float32,51,0.003016276750713587; 0.13044320046901703; 0.0031629414297640324
Highway5x.dta,ilu,float32,51,0.0009316729847341776; 0.07477730512619019; 0.00817149318754673
Highway5x.dta,ili,float32,51,0.16290414333343506; -1.0712904930114746; 0.14955687522888184
Highway5x.dta,ilm,float32,51,-0.6278424859046936; 3.444098472595215; -0.6146397590637207
Highway5x.dta,iuu,float32,51,0.0002877768420148641; 0.04286650940775871; 0.0211111418902874
Highway5x.dta,iui,float32,51,0.05031812563538551; -0.6141233444213867; 0.3863818049430847
Highway5x.dta,ium,float32,51,-0.19392912089824677; 1.974348783493042; -1.5879285335540771
Highway5x.dta,iii,float32,54,8.798184394836426; 8.798184394836426; 7.071663856506348
Highway5x.dta,iim,float32,51,-33.90874099731445; -28.285337448120117; -29.062694549560547
Highway5x.dta,imm,float32,51,130.6863555908203; 90.93470001220703; 119.44010162353516
hwy-local.xls::Sheet5,SUMMARY OUTPUT,object,12,Regression Statistics; Multiple R; R Square
hwy-local.xls::Sheet5,Unnamed: 1,object,12,0.245447076222658; 0.0602442672262513; 0.0410655788022972
hwy-local.xls::Sheet5,Unnamed: 2,object,7,SS; 279546461.78364; 4360670353.10075
hwy-local.xls::Sheet5,Unnamed: 3,object,6,MS; 279546461.78364; 88993272.5122602
hwy-local.xls::Sheet5,Unnamed: 4,object,5,F; 3.14120892391195; P-value
hwy-local.xls::Sheet5,Unnamed: 5,object,5,Significance F; 0.0825543185291108; Lower 95%
hwy-local.xls::Sheet5,Unnamed: 6,object,3,Upper 95%; 11823.0074463699; 21229.7787361977
hwy-local.xls::Sheet5,Unnamed: 7,object,3,Lower 95.0%; -4805.28780910599; -1331.68003317471
hwy-local.xls::Sheet5,Unnamed: 8,object,3,Upper 95.0%; 11823.0074463699; 21229.7787361977
hwy-local.xls::Sheet6,SUMMARY OUTPUT,object,13,Regression Statistics; Multiple R; R Square
hwy-local.xls::Sheet6,Unnamed: 1,object,13,0.95544518372232; 0.912875499098177; 0.909245311560601
hwy-local.xls::Sheet6,Unnamed: 2,object,8,SS; 4235940240.81134; 404276574.073048
hwy-local.xls::Sheet6,Unnamed: 3,object,7,MS; 2117970120.40567; 8422428.62652183
hwy-local.xls::Sheet6,Unnamed: 4,object,6,F; 251.467862100521; P-value
hwy-local.xls::Sheet6,Unnamed: 5,object,6,Significance F; 3.65904101433718e-26; Lower 95%
hwy-local.xls::Sheet6,Unnamed: 6,object,4,Upper 95%; 3426.51383278646; 5658.08959752932
hwy-local.xls::Sheet6,Unnamed: 7,object,4,Lower 95.0%; -1715.29968086313; -1436.98663366562
